,user_id,movie_id,rating
0,1,33,4.5
1,1,291,4.0
2,1,217,5.0
3,1,112,4.0
4,1,17,1.0
5,1,72,1.5
6,1,42,4.5
7,1,270,0.5
8,1,153,0.5
9,1,223,3.0
10,2,160,1.0
11,2,121,2.0
12,2,243,4.5
13,2,120,2.5
14,2,34,3.5
15,2,139,4.5
16,2,132,2.0
17,2,29,1.5
18,2,244,2.0
19,2,39,2.5
20,3,13,3.0
21,3,147,4.5
22,3,128,4.0
23,3,39,5.0
24,3,47,2.0
25,3,285,2.5
26,3,80,0.5
27,3,128,2.0
28,3,183,3.0
29,3,211,1.5
30,4,286,5.0
31,4,216,3.5
32,4,291,4.5
33,4,50,0.5
34,4,34,0.5
35,4,284,4.0
36,4,178,1.5
37,4,262,2.0
38,4,1,1.5
39,4,294,4.5
40,5,156,4.0
41,5,197,4.0
42,5,214,0.5
43,5,262,2.0
44,5,115,3.0
45,5,215,2.5
46,5,237,4.0
47,5,208,1.5
48,5,259,2.5
49,5,245,0.5
50,6,257,1.5
51,6,114,0.5
52,6,166,2.0
53,6,121,3.5
54,6,258,3.5
55,6,263,1.5
56,6,58,1.0
57,6,34,3.5
58,6,220,0.5
59,6,193,3.5
60,7,22,0.5
61,7,152,4.5
62,7,200,3.5
63,7,195,3.5
64,7,137,0.5
65,7,161,2.5
66,7,104,1.0
67,7,13,3.5
68,7,290,2.5
69,7,199,1.0
70,8,122,5.0
71,8,31,3.5
72,8,107,4.0
73,8,14,4.0
74,8,87,5.0
75,8,193,3.0
76,8,249,3.0
77,8,297,4.0
78,8,176,4.0
79,8,7,1.0
80,9,114,1.0
81,9,157,3.0
82,9,24,3.0
83,9,225,2.5
84,9,273,3.0
85,9,252,3.0
86,9,139,5.0
87,9,214,4.5
88,9,290,3.5
89,9,13,4.5
90,10,206,1.5
91,10,260,1.5
92,10,72,2.5
93,10,248,4.5
94,10,204,1.0
95,10,126,2.5
96,10,105,1.5
97,10,95,4.0
98,10,76,4.0
99,10,243,5.0
100,11,129,3.5
101,11,252,2.5
102,11,228,1.5
103,11,93,0.5
104,11,35,5.0
105,11,119,0.5
106,11,196,3.0
107,11,287,3.5
108,11,24,1.5
109,11,172,3.5
110,12,221,2.0
111,12,272,1.5
112,12,57,4.5
113,12,150,1.0
114,12,40,3.5
115,12,192,0.5
116,12,259,2.5
117,12,3,3.5
118,12,191,4.0
119,12,273,5.0
120,13,92,3.0
121,13,84,4.5
122,13,212,3.0
123,13,105,3.5
124,13,13,3.5
125,13,26,2.0
126,13,130,0.5
127,13,22,2.5
128,13,137,3.5
129,13,276,1.5
130,14,169,0.5
131,14,297,1.0
132,14,290,4.0
133,14,142,4.0
134,14,300,4.5
135,14,14,5.0
136,14,105,1.5
137,14,85,3.0
138,14,283,4.5
139,14,213,5.0
140,15,33,1.5
141,15,155,4.0
142,15,48,3.5
143,15,183,3.0
144,15,219,2.5
145,15,81,5.0
146,15,255,2.5
147,15,10,3.0
148,15,143,2.5
149,15,184,1.0
150,16,19,1.0
151,16,256,5.0
152,16,66,2.5
153,16,147,5.0
154,16,59,5.0
155,16,11,5.0
156,16,239,2.5
157,16,130,2.0
158,16,101,1.5
159,16,46,5.0
160,17,144,3.5
161,17,110,5.0
162,17,15,0.5
163,17,183,4.0
164,17,207,1.5
165,17,112,1.5
166,17,285,2.5
167,17,185,5.0
168,17,164,1.0
169,17,216,2.0
170,18,199,1.5
171,18,217,5.0
172,18,171,1.5
173,18,167,3.5
174,18,49,4.5
175,18,29,1.5
176,18,166,5.0
177,18,241,3.5
178,18,137,2.0
179,18,38,4.5
180,19,185,1.5
181,19,139,4.5
182,19,49,1.5
183,19,128,5.0
184,19,90,4.0
185,19,77,4.5
186,19,88,3.5
187,19,282,4.5
188,19,64,1.5
189,19,109,5.0
190,20,216,1.0
191,20,194,5.0
192,20,153,5.0
193,20,60,4.5
194,20,127,2.0
195,20,165,2.0
196,20,149,3.0
197,20,271,3.0
198,20,244,0.5
199,20,122,4.0
200,21,174,1.0
201,21,189,4.5
202,21,126,2.0
203,21,64,3.5
204,21,256,4.0
205,21,150,0.5
206,21,26,3.0
207,21,276,3.0
208,21,211,0.5
209,21,73,4.0
210,22,200,1.0
211,22,85,3.0
212,22,100,2.5
213,22,139,3.0
214,22,85,1.5
215,22,142,0.5
216,22,286,2.0
217,22,91,3.0
218,22,92,2.5
219,22,259,3.0
220,23,79,2.0
221,23,52,3.0
222,23,2,3.5
223,23,81,4.0
224,23,168,0.5
225,23,69,0.5
226,23,120,1.0
227,23,219,3.5
228,23,300,4.0
229,23,269,3.0
230,24,172,3.0
231,24,5,3.0
232,24,284,2.5
233,24,195,2.0
234,24,2,1.5
235,24,245,0.5
236,24,289,0.5
237,24,247,3.5
238,24,161,0.5
239,24,94,2.5
240,25,233,4.0
241,25,161,4.5
242,25,4,1.0
243,25,75,0.5
244,25,23,0.5
245,25,161,4.0
246,25,147,2.5
247,25,282,4.5
248,25,282,0.5
249,25,256,3.5
250,26,252,0.5
251,26,99,1.0
252,26,87,3.5
253,26,138,2.5
254,26,62,2.5
255,26,224,4.0
256,26,164,5.0
257,26,137,4.0
258,26,135,2.5
259,26,107,5.0
260,27,238,4.5
261,27,295,2.0
262,27,6,5.0
263,27,113,0.5
264,27,295,4.0
265,27,32,3.0
266,27,146,3.0
267,27,243,3.5
268,27,28,1.0
269,27,79,3.0
270,28,176,3.0
271,28,237,3.5
272,28,4,3.5
273,28,245,3.5
274,28,275,3.0
275,28,203,5.0
276,28,217,3.0
277,28,110,2.5
278,28,266,0.5
279,28,91,2.0
280,29,140,3.5
281,29,249,5.0
282,29,271,1.0
283,29,183,1.5
284,29,161,2.0
285,29,136,1.5
286,29,31,1.0
287,29,54,4.5
288,29,166,2.5
289,29,289,3.5
290,30,75,3.5
291,30,125,1.5
292,30,152,4.5
293,30,33,2.0
294,30,35,1.0
295,30,89,3.0
296,30,270,5.0
297,30,200,2.5
298,30,66,0.5
299,30,144,3.0
300,31,258,3.5
301,31,256,1.5
302,31,77,4.0
303,31,245,4.0
304,31,218,3.5
305,31,288,2.5
306,31,245,5.0
307,31,227,3.5
308,31,243,4.0
309,31,120,1.5
310,32,157,1.5
311,32,169,4.5
312,32,150,1.0
313,32,237,3.0
314,32,120,4.0
315,32,161,4.0
316,32,203,2.0
317,32,224,0.5
318,32,161,4.5
319,32,238,3.5
320,33,254,2.5
321,33,194,4.5
322,33,64,2.0
323,33,150,4.5
324,33,103,1.0
325,33,151,1.0
326,33,37,2.0
327,33,123,0.5
328,33,159,2.5
329,33,149,3.0
330,34,78,2.5
331,34,194,0.5
332,34,193,5.0
333,34,154,2.0
334,34,188,2.5
335,34,254,5.0
336,34,153,3.0
337,34,182,1.0
338,34,109,2.0
339,34,146,2.5
340,35,212,3.5
341,35,136,3.5
342,35,279,3.0
343,35,175,4.0
344,35,145,2.0
345,35,268,5.0
346,35,176,1.5
347,35,284,4.5
348,35,283,2.0
349,35,251,1.0
350,36,128,2.5
351,36,105,3.0
352,36,165,3.5
353,36,139,4.0
354,36,42,1.5
355,36,240,1.0
356,36,99,3.5
357,36,59,0.5
358,36,178,4.0
359,36,76,3.5
360,37,130,5.0
361,37,140,1.0
362,37,3,3.0
363,37,22,3.5
364,37,189,5.0
365,37,278,0.5
366,37,27,2.0
367,37,127,2.0
